binlog.000009	4	Format_desc	1	126	Server ver: 8.2.0, Binlog ver: 4
binlog.000009	126	Previous_gtids	1	157	
binlog.000009	157	Anonymous_Gtid	1	236	SET @@SESSION.GTID_NEXT= 'ANONYMOUS'
binlog.000009	236	Query	1	337	BEGIN
binlog.000009	337	Table_map	1	431	table_id: 91 (ruoyi-vue-pro.FLW_EV_DATABASECHANGELOGLOCK)
binlog.000009	431	Update_rows	1	510	table_id: 91 flags: STMT_END_F
binlog.000009	510	Xid	1	541	COMMIT /* xid=16 */
binlog.000009	541	Anonymous_Gtid	1	620	SET @@SESSION.GTID_NEXT= 'ANONYMOUS'
binlog.000009	620	Query	1	713	BEGIN
binlog.000009	713	Table_map	1	807	table_id: 91 (ruoyi-vue-pro.FLW_EV_DATABASECHANGELOGLOCK)
binlog.000009	807	Update_rows	1	886	table_id: 91 flags: STMT_END_F
binlog.000009	886	Xid	1	917	COMMIT /* xid=74 */
binlog.000009	917	Anonymous_Gtid	1	996	SET @@SESSION.GTID_NEXT= 'ANONYMOUS'
binlog.000009	996	Query	1	1097	BEGIN
binlog.000009	1097	Table_map	1	1215	table_id: 101 (ruoyi-vue-pro.system_oauth2_access_token)
binlog.000009	1215	Update_rows	1	1591	table_id: 101 flags: STMT_END_F
binlog.000009	1591	Table_map	1	1709	table_id: 101 (ruoyi-vue-pro.system_oauth2_access_token)
binlog.000009	1709	Write_rows	1	1914	table_id: 101 flags: STMT_END_F
binlog.000009	1914	Xid	1	1945	COMMIT /* xid=415 */
binlog.000009	1945	Anonymous_Gtid	1	2024	SET @@SESSION.GTID_NEXT= 'ANONYMOUS'
binlog.000009	2024	Query	1	2125	BEGIN
binlog.000009	2125	Table_map	1	2243	table_id: 101 (ruoyi-vue-pro.system_oauth2_access_token)
binlog.000009	2243	Update_rows	1	2627	table_id: 101 flags: STMT_END_F
binlog.000009	2627	Table_map	1	2740	table_id: 102 (ruoyi-vue-pro.system_oauth2_refresh_token)
binlog.000009	2740	Update_rows	1	2948	table_id: 102 flags: STMT_END_F
binlog.000009	2948	Xid	1	2979	COMMIT /* xid=1950 */
binlog.000009	2979	Anonymous_Gtid	1	3058	SET @@SESSION.GTID_NEXT= 'ANONYMOUS'
binlog.000009	3058	Query	1	3150	BEGIN
binlog.000009	3150	Table_map	1	3255	table_id: 137 (ruoyi-vue-pro.system_login_log)
binlog.000009	3255	Write_rows	1	3493	table_id: 137 flags: STMT_END_F
binlog.000009	3493	Xid	1	3524	COMMIT /* xid=1959 */
binlog.000009	3524	Anonymous_Gtid	1	3603	SET @@SESSION.GTID_NEXT= 'ANONYMOUS'
binlog.000009	3603	Query	1	3695	BEGIN
binlog.000009	3695	Table_map	1	3800	table_id: 137 (ruoyi-vue-pro.system_login_log)
binlog.000009	3800	Write_rows	1	4023	table_id: 137 flags: STMT_END_F
binlog.000009	4023	Xid	1	4054	COMMIT /* xid=1971 */
binlog.000009	4054	Anonymous_Gtid	1	4133	SET @@SESSION.GTID_NEXT= 'ANONYMOUS'
binlog.000009	4133	Query	1	4234	BEGIN
binlog.000009	4234	Table_map	1	4352	table_id: 104 (ruoyi-vue-pro.system_users)
binlog.000009	4352	Update_rows	1	4844	table_id: 104 flags: STMT_END_F
binlog.000009	4844	Xid	1	4875	COMMIT /* xid=1973 */
binlog.000009	4875	Anonymous_Gtid	1	4954	SET @@SESSION.GTID_NEXT= 'ANONYMOUS'
binlog.000009	4954	Query	1	5046	BEGIN
binlog.000009	5046	Table_map	1	5159	table_id: 102 (ruoyi-vue-pro.system_oauth2_refresh_token)
binlog.000009	5159	Write_rows	1	5280	table_id: 102 flags: STMT_END_F
binlog.000009	5280	Table_map	1	5398	table_id: 101 (ruoyi-vue-pro.system_oauth2_access_token)
binlog.000009	5398	Write_rows	1	5606	table_id: 101 flags: STMT_END_F
binlog.000009	5606	Xid	1	5637	COMMIT /* xid=1975 */
binlog.000009	5637	Anonymous_Gtid	1	5716	SET @@SESSION.GTID_NEXT= 'ANONYMOUS'
binlog.000009	5716	Query	1	5817	BEGIN
binlog.000009	5817	Table_map	1	5935	table_id: 101 (ruoyi-vue-pro.system_oauth2_access_token)
binlog.000009	5935	Update_rows	1	6325	table_id: 101 flags: STMT_END_F
binlog.000009	6325	Table_map	1	6438	table_id: 102 (ruoyi-vue-pro.system_oauth2_refresh_token)
binlog.000009	6438	Update_rows	1	6646	table_id: 102 flags: STMT_END_F
binlog.000009	6646	Xid	1	6677	COMMIT /* xid=2769 */
binlog.000009	6677	Anonymous_Gtid	1	6756	SET @@SESSION.GTID_NEXT= 'ANONYMOUS'
binlog.000009	6756	Query	1	6848	BEGIN
binlog.000009	6848	Table_map	1	6953	table_id: 137 (ruoyi-vue-pro.system_login_log)
binlog.000009	6953	Write_rows	1	7192	table_id: 137 flags: STMT_END_F
binlog.000009	7192	Xid	1	7223	COMMIT /* xid=2778 */
binlog.000009	7223	Anonymous_Gtid	1	7302	SET @@SESSION.GTID_NEXT= 'ANONYMOUS'
binlog.000009	7302	Query	1	7394	BEGIN
binlog.000009	7394	Table_map	1	7499	table_id: 137 (ruoyi-vue-pro.system_login_log)
binlog.000009	7499	Write_rows	1	7721	table_id: 137 flags: STMT_END_F
binlog.000009	7721	Xid	1	7752	COMMIT /* xid=2782 */
binlog.000009	7752	Anonymous_Gtid	1	7831	SET @@SESSION.GTID_NEXT= 'ANONYMOUS'
binlog.000009	7831	Query	1	7932	BEGIN
binlog.000009	7932	Table_map	1	8050	table_id: 104 (ruoyi-vue-pro.system_users)
binlog.000009	8050	Update_rows	1	8520	table_id: 104 flags: STMT_END_F
binlog.000009	8520	Xid	1	8551	COMMIT /* xid=2784 */
binlog.000009	8551	Anonymous_Gtid	1	8630	SET @@SESSION.GTID_NEXT= 'ANONYMOUS'
binlog.000009	8630	Query	1	8722	BEGIN
binlog.000009	8722	Table_map	1	8835	table_id: 102 (ruoyi-vue-pro.system_oauth2_refresh_token)
binlog.000009	8835	Write_rows	1	8956	table_id: 102 flags: STMT_END_F
binlog.000009	8956	Table_map	1	9074	table_id: 101 (ruoyi-vue-pro.system_oauth2_access_token)
binlog.000009	9074	Write_rows	1	9279	table_id: 101 flags: STMT_END_F
binlog.000009	9279	Xid	1	9310	COMMIT /* xid=2786 */
binlog.000009	9310	Anonymous_Gtid	1	9389	SET @@SESSION.GTID_NEXT= 'ANONYMOUS'
binlog.000009	9389	Query	1	9481	BEGIN
binlog.000009	9481	Table_map	1	9586	table_id: 137 (ruoyi-vue-pro.system_login_log)
binlog.000009	9586	Write_rows	1	9775	table_id: 137 flags: STMT_END_F
binlog.000009	9775	Xid	1	9806	COMMIT /* xid=3015 */
binlog.000009	9806	Anonymous_Gtid	1	9885	SET @@SESSION.GTID_NEXT= 'ANONYMOUS'
binlog.000009	9885	Query	1	9986	BEGIN
binlog.000009	9986	Table_map	1	10104	table_id: 104 (ruoyi-vue-pro.system_users)
binlog.000009	10104	Update_rows	1	10532	table_id: 104 flags: STMT_END_F
binlog.000009	10532	Xid	1	10563	COMMIT /* xid=3017 */
binlog.000009	10563	Anonymous_Gtid	1	10642	SET @@SESSION.GTID_NEXT= 'ANONYMOUS'
binlog.000009	10642	Query	1	10734	BEGIN
binlog.000009	10734	Table_map	1	10847	table_id: 102 (ruoyi-vue-pro.system_oauth2_refresh_token)
binlog.000009	10847	Write_rows	1	10968	table_id: 102 flags: STMT_END_F
binlog.000009	10968	Table_map	1	11086	table_id: 101 (ruoyi-vue-pro.system_oauth2_access_token)
binlog.000009	11086	Write_rows	1	11288	table_id: 101 flags: STMT_END_F
binlog.000009	11288	Xid	1	11319	COMMIT /* xid=3019 */
binlog.000009	11319	Anonymous_Gtid	1	11398	SET @@SESSION.GTID_NEXT= 'ANONYMOUS'
binlog.000009	11398	Query	1	11490	BEGIN
binlog.000009	11490	Table_map	1	11595	table_id: 137 (ruoyi-vue-pro.system_login_log)
